antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,length
"frozenset({'Summary Status of Drive Control Unit  - Major Fault', 'Replace'})",frozenset({'Faulty'}),0.3076923076923077,0.5384615384615384,0.3076923076923077,1.0,1.8571428571428572,0.14201183431952663,inf,1
"frozenset({'Faulty', 'Replace'})",frozenset({'Summary Status of Drive Control Unit  - Major Fault'}),0.5384615384615384,0.3076923076923077,0.3076923076923077,0.5714285714285715,1.8571428571428572,0.14201183431952663,1.6153846153846156,1
frozenset({'Dislodged'}),frozenset({'NA'}),0.23076923076923078,0.38461538461538464,0.23076923076923078,1.0,2.5999999999999996,0.14201183431952663,inf,1
frozenset({'Swap'}),"frozenset({'Summary Status of Drive Control Unit  - Minor Fault', 'NFF'})",0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,2
frozenset({'NFF'}),"frozenset({'Swap', 'Summary Status of Drive Control Unit  - Minor Fault'})",0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,2
"frozenset({'Summary Status of Drive Control Unit  - Minor Fault', 'NFF'})",frozenset({'Swap'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1
"frozenset({'Swap', 'Summary Status of Drive Control Unit  - Minor Fault'})",frozenset({'NFF'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1
frozenset({'Swap'}),frozenset({'NFF'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1
frozenset({'NFF'}),frozenset({'Swap'}),0.15384615384615385,0.15384615384615385,0.15384615384615385,1.0,6.5,0.1301775147928994,inf,1
frozenset({'Faulty'}),frozenset({'Replace'}),0.5384615384615384,0.7692307692307693,0.5384615384615384,1.0,1.2999999999999998,0.12426035502958577,inf,1
frozenset({'Replace'}),frozenset({'Faulty'}),0.7692307692307693,0.5384615384615384,0.5384615384615384,0.7,1.3,0.12426035502958577,1.5384615384615383,1
"frozenset({'Faulty', 'DCU'})","frozenset({'Bogie 2 internal power failure 6V or +/- 15V', 'Replace'})",0.23076923076923078,0.15384615384615385,0.15384615384615385,0.6666666666666666,4.333333333333333,0.1183431952662722,2.5384615384615383,2
frozenset({'Summary Status of Drive Control Unit  - Minor Fault'}),frozenset({'Swap'}),0.23076923076923078,0.15384615384615385,0.15384615384615385,0.6666666666666666,4.333333333333333,0.1183431952662722,2.5384615384615383,1
frozenset({'Swap'}),frozenset({'Summary Status of Drive Control Unit  - Minor Fault'}),0.15384615384615385,0.23076923076923078,0.15384615384615385,1.0,4.333333333333333,0.1183431952662722,inf,1
frozenset({'NFF'}),frozenset({'Summary Status of Drive Control Unit  - Minor Fault'}),0.15384615384615385,0.23076923076923078,0.15384615384615385,1.0,4.333333333333333,0.1183431952662722,inf,1
